x;y;value
0;0;-0.00000000
1;0;-0.08279225
2;0;-0.16607531
3;0;-0.25027668
4;0;-0.33575796
5;0;-0.42281862
6;0;-0.51169925
7;0;-0.60258495
8;0;-0.69560875
9;0;-0.79085501
10;0;-0.88836222
11;0;-0.98812640
12;0;-1.09010392
13;0;-1.19421434
14;0;-1.30034402
15;0;-1.40834763
16;0;-1.51805254
17;0;-1.62925968
18;0;-1.74174736
19;0;-1.85527374
20;0;-1.96957815
21;0;-2.08438497
22;0;-2.19940488
23;0;-2.31433678
24;0;-2.42887151
25;0;-2.54269225
26;0;-2.65547691
27;0;-2.76690156
28;0;-2.87663960
29;0;-2.98436449
30;0;-3.08975358
31;0;-3.19248741
32;0;-3.29225121
33;0;-3.38873696
34;0;-3.48164541
35;0;-3.57068670
36;0;-3.65558145
37;0;-3.73606227
38;0;-3.81187522
39;0;-3.88277951
40;0;-3.94854969
41;0;-4.00897715
42;0;-4.06386789
43;0;-4.11304666
44;0;-4.15635615
45;0;-4.19365742
46;0;-4.22483026
47;0;-4.24977543
48;0;-4.26841202
49;0;-4.28067937
50;0;-4.28653854
51;0;-4.28596929
52;0;-4.27897275
53;0;-4.26557176
54;0;-4.24580715
55;0;-4.21974259
56;0;-4.18746046
57;0;-4.14906225
58;0;-4.10467081
59;0;-4.05442582
60;0;-3.99848646
61;0;-3.93702985
62;0;-3.87024888
63;0;-3.79835477
64;0;-3.72157221
65;0;-3.64014240
66;0;-3.55431812
67;0;-3.46436640
68;0;-3.37056325
69;0;-3.27320004
70;0;-3.17257000
71;0;-3.06898023
72;0;-2.96274195
73;0;-2.85416862
74;0;-2.74357782
75;0;-2.63129350
76;0;-2.51763305
77;0;-2.40291443
78;0;-2.28745092
79;0;-2.17155316
80;0;-2.05551647
81;0;-1.93963388
82;0;-1.82418460
83;0;-1.70943003
84;0;-1.59561978
85;0;-1.48297602
86;0;-1.37171532
87;0;-1.26201425
88;0;-1.15402665
89;0;-1.04787928
90;0;-0.94367260
91;0;-0.84145400
92;0;-0.74125830
93;0;-0.64306190
94;0;-0.54680404
95;0;-0.45236091
96;0;-0.35958524
97;0;-0.26826786
98;0;-0.17812757
99;0;-0.08883941
100;0;0.00000000
101;0;0.08876546
102;0;0.17758498
103;0;0.26648853
104;0;0.35548146
105;0;0.44454630
106;0;0.53364447
107;0;0.62271802
108;0;0.71169111
109;0;0.80047291
110;0;0.88895497
111;0;0.97701890
112;0;1.06453351
113;0;1.15135763
114;0;1.23734135
115;0;1.32232720
116;0;1.40615218
117;0;1.48864765
118;0;1.56964200
119;0;1.64896081
0;1;-0.03433848
1;1;-0.11713002
2;1;-0.20041107
3;1;-0.28460788
4;1;-0.37008089
5;1;-0.45712848
6;1;-0.54599029
7;1;-0.63685047
8;1;-0.72984108
9;1;-0.82504582
10;1;-0.92250238
11;1;-1.02220626
12;1;-1.12411281
13;1;-1.22814168
14;1;-1.33417848
15;1;-1.44207732
16;1;-1.55166538
17;1;-1.66274342
18;1;-1.77508916
19;1;-1.88846105
20;1;-2.00259769
21;1;-2.11722418
22;1;-2.23205028
23;1;-2.34677583
24;1;-2.46109110
25;1;-2.57467889
26;1;-2.68721901
27;1;-2.79838580
28;1;-2.90785383
29;1;-3.01529690
30;1;-3.12039237
31;1;-3.22282098
32;1;-3.32226870
33;1;-3.41842787
34;1;-3.51100002
35;1;-3.59969452
36;1;-3.68423386
37;1;-3.76435028
38;1;-3.83979060
39;1;-3.91031477
40;1;-3.97569733
41;1;-4.03573081
42;1;-4.09022195
43;1;-4.13899588
44;1;-4.18189603
45;1;-4.21878347
46;1;-4.24953986
47;1;-4.27406558
48;1;-4.29228048
49;1;-4.30412464
50;1;-4.30956023
51;1;-4.30856741
52;1;-4.30114806
53;1;-4.28732575
54;1;-4.26714207
55;1;-4.24066068
56;1;-4.20796546
57;1;-4.16915792
58;1;-4.12436164
59;1;-4.07371780
60;1;-4.01738483
61;1;-3.95554136
62;1;-3.88838027
63;1;-3.81611464
64;1;-3.73896844
65;1;-3.65718360
66;1;-3.57101327
67;1;-3.48072525
68;1;-3.38659628
69;1;-3.28891773
70;1;-3.18798396
71;1;-3.08410133
72;1;-2.97758161
73;1;-2.86873957
74;1;-2.75789167
75;1;-2.64536335
76;1;-2.53147108
77;1;-2.41653356
78;1;-2.30086501
79;1;-2.18477382
80;1;-2.06855736
81;1;-1.95250850
82;1;-1.83690567
83;1;-1.72201047
84;1;-1.60807120
85;1;-1.49531200
86;1;-1.38394737
87;1;-1.27415380
88;1;-1.16608568
89;1;-1.05986762
90;1;-0.95560131
91;1;-0.85333336
92;1;-0.75309731
93;1;-0.65486856
94;1;-0.55858528
95;1;-0.46412422
96;1;-0.37133538
97;1;-0.28001123
98;1;-0.18986685
99;1;-0.10057727
100;1;-0.01173785
101;1;0.07702667
102;1;0.16584081
103;1;0.25473032
104;1;0.34369657
105;1;0.43271843
106;1;0.52175392
107;1;0.61074190
108;1;0.69960352
109;1;0.78824535
110;1;0.87655645
111;1;0.96441608
112;1;1.05169120
113;1;1.13823874
114;1;1.22390732
115;1;1.30853795
116;1;1.39196641
117;1;1.47402324
118;1;1.55453589
119;1;1.63332964
0;2;-0.06914012
1;2;-0.15192816
2;2;-0.23520439
3;2;-0.31939375
4;2;-0.40485567
5;2;-0.49188727
6;2;-0.58072722
7;2;-0.67155875
8;2;-0.76451312
9;2;-0.85967302
10;2;-0.95707574
11;2;-1.05671577
12;2;-1.15854835
13;2;-1.26249194
14;2;-1.36843211
15;2;-1.47622272
16;2;-1.58569028
17;2;-1.69663537
18;2;-1.80883543
19;2;-1.92204872
20;2;-2.03601401
21;2;-2.15045568
22;2;-2.26508405
23;2;-2.37959875
24;2;-2.49369044
25;2;-2.60704211
26;2;-2.71933261
27;2;-2.83023762
28;2;-2.93943207
29;2;-3.04658883
30;2;-3.15138676
31;2;-3.25350621
32;2;-3.35263373
33;2;-3.44846259
34;2;-3.54069393
35;2;-3.62903827
36;2;-3.71321771
37;2;-3.79296636
38;2;-3.86803030
39;2;-3.93817023
40;2;-4.00316255
41;2;-4.06279905
42;2;-4.11688685
43;2;-4.16525294
44;2;-4.20774001
45;2;-4.24421175
46;2;-4.27454832
47;2;-4.29865122
48;2;-4.31644217
49;2;-4.32786127
50;2;-4.33287105
51;2;-4.33145279
52;2;-4.32360911
53;2;-4.30936324
54;2;-4.28875861
55;2;-4.26185890
56;2;-4.22874873
57;2;-4.18953148
58;2;-4.14432923
59;2;-4.09328505
60;2;-4.03655809
61;2;-3.97432738
62;2;-3.90678616
63;2;-3.83414790
64;2;-3.75663731
65;2;-3.67449705
66;2;-3.58798144
67;2;-3.49735748
68;2;-3.40290306
69;2;-3.30490955
70;2;-3.20367206
71;2;-3.09949713
72;2;-2.99269727
